,,,,,,,,,,,,,,,,,,,,,,269,# PILIHAN 1,Pilihan 1,,# PILIHAN 2,Pilihan 2,
PROVINSI,KOTA/KABUPATEN,PROVINSI GABUNG,UNIVERSITAS,PROGRAM STUDI,JENJANG,[hidden] concat,"PEMINAT 2024
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA INGGRIS,S1,S1 - PENDIDIKAN BAHASA INGGRIS UNIVERSITAS NEGERI SEMARANG,729,40,5.49%,656,60,9.15%,602,1,1401,"1,302",860,1329,1280,"1,193",1222,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI BANDUNG,PROSES MANUFAKTUR,D4,D4 - PROSES MANUFAKTUR POLITEKNIK NEGERI BANDUNG,131,13,9.92%,314,32,10.19%,602,1,-,"1,426",860,1329,tidak valid,"1,205",1248,NO,,,,,,
Papua,Kota Jayapura,Jawa Timur,UNIVERSITAS BRAWIJAYA,PENDIDIKAN BAHASA JEPANG,S1,S1 - PENDIDIKAN BAHASA JEPANG UNIVERSITAS BRAWIJAYA,109,18,16.51%,192,27,14.06%,602,0,801,"1,815",860,2004,521,"1,300",1399,NO,,,,,,
Jawa Timur,Kab. Jember,Jawa Tengah & DIY,POLITEKNIK NEGERI SEMARANG,TEKNIK TELEKOMUNIKASI,D4,D4 - TEKNIK TELEKOMUNIKASI POLITEKNIK NEGERI SEMARANG,220,30,13.64%,494,54,10.93%,602,0,-,"1,515",860,2004,tidak valid,"1,460",1674,NO,,,,,,
Kalimantan Timur,Kota Samarinda,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN TEKNIK ARSITEKTUR,S1,S1 - PENDIDIKAN TEKNIK ARSITEKTUR UNIVERSITAS PENDIDIKAN INDONESIA,180,14,7.78%,215,41,19.07%,602,0,1401,"2,162",860,2004,1280,"1,577",1883,NO,,,,,,
Jawa Timur,Kota Surabaya,Bali & Nusa Tenggara,UNIVERSITAS UDAYANA,TEKNIK PERTANIAN DAN BIOSISTEM,S1,S1 - TEKNIK PERTANIAN DAN BIOSISTEM UNIVERSITAS UDAYANA,19,21,110.53%,62,28,45.16%,602,1,1401,"3,213",860,1329,1280,"1,671",2082,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UIN SUNAN AMPEL SURABAYA,AKUNTANSI,S1,S1 - AKUNTANSI UIN SUNAN AMPEL SURABAYA,309,34,11.00%,243,102,41.98%,602,2,-,"3,128",860,1037,tidak valid,"1,675",2091,NO,,,,,,
Kalimantan Timur,Kota Samarinda,Bali & Nusa Tenggara,UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN MATEMATIKA,S1,S1 - PENDIDIKAN MATEMATIKA UNIVERSITAS PENDIDIKAN GANESHA,129,54,41.86%,68,72,105.88%,602,0,-,"4,042",860,2004,tidak valid,"2,302",3281,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,ILMU PEMERINTAHAN,S1,S1 - ILMU PEMERINTAHAN UNIVERSITAS PADJADJARAN,522,16,3.07%,779,24,3.08%,601,9,596,295,880,419,381,494,337,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNOLOGI REKAYASA ELEKTRO,D4,D4 - TEKNOLOGI REKAYASA ELEKTRO UNIVERSITAS GADJAH MADA,116,22,18.97%,1109,22,1.98%,601,2,239,126,880,1037,80,531,371,NO,,,,,,
Nusa Tenggara Timur,Kota Kupang,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PARIWISATA,S1,S1 - PARIWISATA UNIVERSITAS NEGERI YOGYAKARTA,748,24,3.21%,1556,36,2.31%,601,5,1201,181,880,647,843,638,489,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS NEGERI JAKARTA,PSIKOLOGI,S1,S1 - PSIKOLOGI UNIVERSITAS NEGERI JAKARTA,2076,89,4.29%,3436,134,3.90%,601,32,1401,431,880,140,1280,683,540,NO,,,,,,
Jawa Timur,Kota Malang,"Sumsel, Babel, Lampung",UNIVERSITAS SRIWIJAYA,TEKNIK PERTAMBANGAN,S1,S1 - TEKNIK PERTAMBANGAN UNIVERSITAS SRIWIJAYA,1115,35,3.14%,1924,70,3.64%,601,23,1401,381,880,200,1280,685,543,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,KESEHATAN MASYARAKAT,S1,S1 - KESEHATAN MASYARAKAT UNIVERSITAS NEGERI SEMARANG,1672,55,3.29%,2060,83,4.03%,601,7,1401,466,880,517,1280,786,661,NO,,,,,,
Kalimantan Barat,Kota Pontianak,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,PENDIDIKAN BAHASA INGGRIS,S1,S1 - PENDIDIKAN BAHASA INGGRIS UNIVERSITAS SEBELAS MARET,358,18,5.03%,512,27,5.27%,601,2,1001,688,880,1037,662,817,693,NO,,,,,,
Sulawesi Selatan,Kota Makassar,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,TEKNOLOGI & MANAJEMEN PERIKANAN BUDIDAYA,S1,S1 - TEKNOLOGI & MANAJEMEN PERIKANAN BUDIDAYA INSTITUT PERTANIAN BOGOR,195,54,27.69%,336,36,10.71%,601,3,426,"1,486",880,868,260,874,767,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS JEMBER,GIZI,S1,S1 - GIZI UNIVERSITAS JEMBER,413,27,6.54%,549,36,6.56%,601,2,-,876,880,1037,tidak valid,931,835,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS NEGERI MALANG,PENDIDIKAN BAHASA INGGRIS,S1,S1 - PENDIDIKAN BAHASA INGGRIS UNIVERSITAS NEGERI MALANG,409,44,10.76%,548,56,10.22%,601,8,1401,"1,430",880,463,1280,"1,013",941,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK MANUFAKTUR BANDUNG,TEKNOLOGI REKAYASA MEKATRONIKA,D4,D4 - TEKNOLOGI REKAYASA MEKATRONIKA POLITEKNIK MANUFAKTUR BANDUNG,212,16,7.55%,289,21,7.27%,601,1,-,997,880,1329,tidak valid,"1,069",1016,NO,,,,,,
Bali,Kab. Badung,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,TEKNIK MANUFAKTUR,S1,S1 - TEKNIK MANUFAKTUR UNIVERSITAS NEGERI YOGYAKARTA,125,16,12.80%,269,24,8.92%,601,1,1201,"1,276",880,1329,843,"1,082",1031,NO,,,,,,
Jawa Timur,Kota Surabaya,Sumatera Barat,UNIVERSITAS ANDALAS,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS ANDALAS,311,28,9.00%,633,70,11.06%,601,5,1401,"1,527",880,647,1280,"1,084",1033,NO,,,,,,
Jawa Timur,Kota Surabaya,Sumatera Utara,POLITEKNIK NEGERI MEDAN,TEKNIK REKAYASA MULTIMEDIA GRAFIS,D4,D4 - TEKNIK REKAYASA MULTIMEDIA GRAFIS POLITEKNIK NEGERI MEDAN,214,49,22.90%,452,56,12.39%,601,2,-,"1,665",880,1037,tidak valid,"1,194",1226,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN BAHASA ARAB,S1,S1 - PENDIDIKAN BAHASA ARAB UNIVERSITAS PENDIDIKAN INDONESIA,387,20,5.17%,416,55,13.22%,601,2,1401,"1,753",880,1037,1280,"1,238",1302,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UIN JAKARTA,TEKNIK PERTAMBANGAN,S1,S1 - TEKNIK PERTAMBANGAN UIN JAKARTA,326,25,7.67%,425,62,14.59%,601,1,-,"1,852",880,1329,tidak valid,"1,354",1518,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Timur,UNIVERSITAS NEGERI MALANG,GEOGRAFI,S1,S1 - GEOGRAFI UNIVERSITAS NEGERI MALANG,233,45,19.31%,299,60,20.07%,601,1,1401,"2,233",880,1329,1280,"1,431",1635,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UIN JAKARTA,BAHASA DAN SASTRA INGGRIS,S1,S1 - BAHASA DAN SASTRA INGGRIS UIN JAKARTA,400,37,9.25%,510,92,18.04%,601,1,-,"2,101",880,1329,tidak valid,"1,437",1644,NO,,,,,,
Jawa Timur,Kota Malang,Bali & Nusa Tenggara,UNIVERSITAS UDAYANA,EKONOMI,S1,S1 - EKONOMI UNIVERSITAS UDAYANA,314,90,28.66%,433,120,27.71%,601,1,1401,"2,619",880,1329,1280,"1,527",1776,NO,,,,,,
Jawa Timur,Kota Surabaya,Riau & Kepri,UNIVERSITAS RIAU,EKONOMI PEMBANGUNAN,S1,S1 - EKONOMI PEMBANGUNAN UNIVERSITAS RIAU,426,48,11.27%,382,64,16.75%,601,0,1401,"2,017",880,2004,1280,"1,545",1815,NO,,,,,,
Jawa Timur,Kota Malang,Maluku & Papua,UNIVERSITAS KHAIRUN,FARMASI,S1,S1 - FARMASI UNIVERSITAS KHAIRUN,245,27,11.02%,161,36,22.36%,601,0,-,"2,349",880,2004,tidak valid,"1,744",2217,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PADJADJARAN,ILMU KEPERAWATAN,S1,S1 - ILMU KEPERAWATAN UNIVERSITAS PADJADJARAN,1862,44,2.36%,1876,66,3.52%,600,45,596,363,901,88,381,433,262,NO,,,,,,
Kalimantan Utara,Kota Tarakan,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,MANAJEMEN HUTAN,S1,S1 - MANAJEMEN HUTAN INSTITUT PERTANIAN BOGOR,393,63,16.03%,607,42,6.92%,600,7,426,944,901,517,260,656,511,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS NEGERI MALANG,MANAJEMEN,S1,S1 - MANAJEMEN UNIVERSITAS NEGERI MALANG,1990,80,4.02%,2329,96,4.12%,600,13,1401,486,901,322,1280,747,618,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,PENYULUHAN DAN KOMUNIKASI PERTANIAN,S1,S1 - PENYULUHAN DAN KOMUNIKASI PERTANIAN UNIVERSITAS GADJAH MADA,56,9,16.07%,162,9,5.56%,600,1,239,729,901,1329,80,760,633,NO,,,,,,
Sulawesi Tenggara,Kota Kendari,"Banten, DKI Jakarta & Jawa Barat","UPN ""VETERAN"" JAKARTA",MANAJEMEN,S1,"S1 - MANAJEMEN UPN ""VETERAN"" JAKARTA",1996,64,3.21%,3244,160,4.93%,600,10,1301,632,901,390,1128,763,639,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),S1,S1 - PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN) UNIVERSITAS GADJAH MADA,83,23,27.71%,305,23,7.54%,600,2,239,"1,047",901,1037,80,766,644,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS AIRLANGGA,SOSIOLOGI,S1,S1 - SOSIOLOGI UNIVERSITAS AIRLANGGA,212,39,18.40%,296,39,13.18%,600,5,308,"1,744",901,647,197,872,765,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN GURU SEKOLAH DASAR,S1,S1 - PENDIDIKAN GURU SEKOLAH DASAR UNIVERSITAS NEGERI SEMARANG,2960,117,3.95%,2304,176,7.64%,600,9,1401,"1,059",901,419,1280,915,816,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN BAHASA INGGRIS,S1,S1 - PENDIDIKAN BAHASA INGGRIS UNIVERSITAS PENDIDIKAN INDONESIA,718,24,3.34%,767,60,7.82%,600,10,1401,"1,101",901,390,1280,918,820,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS DIPONEGORO,EKONOMI ISLAM,S1,S1 - EKONOMI ISLAM UNIVERSITAS DIPONEGORO,324,40,12.35%,512,60,11.72%,600,4,721,"1,592",901,748,453,924,829,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS BRAWIJAYA,ILMU KELAUTAN,S1,S1 - ILMU KELAUTAN UNIVERSITAS BRAWIJAYA,222,40,18.02%,459,60,13.07%,600,5,801,"1,729",901,647,521,950,860,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK NEGERI BANDUNG,ANALIS KIMIA,D3,D3 - ANALIS KIMIA POLITEKNIK NEGERI BANDUNG,208,13,6.25%,1266,32,2.53%,600,0,-,210,901,2004,tidak valid,"1,038",979,NO,,,,,,
Jawa Timur,Kota Malang,Sulawesi,UNIVERSITAS HASANUDDIN,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS HASANUDDIN,431,50,11.60%,602,95,15.78%,600,5,1001,"1,957",901,647,662,"1,042",983,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN IPS,S1,S1 - PENDIDIKAN IPS UNIVERSITAS NEGERI YOGYAKARTA,154,22,14.29%,277,33,11.91%,600,2,1201,"1,613",901,1037,843,"1,099",1056,NO,,,,,,
Jawa Timur,Kota Malang,Riau & Kepri,UNIVERSITAS RIAU,PENDIDIKAN BAHASA INGGRIS,S1,S1 - PENDIDIKAN BAHASA INGGRIS UNIVERSITAS RIAU,548,36,6.57%,445,48,10.79%,600,4,1401,"1,504",901,748,1280,"1,108",1075,NO,,,,,,
Jawa Timur,Kota Madiun,Jawa Timur,UNIVERSITAS NEGERI MALANG,EKONOMI DAN STUDI PEMBANGUNAN,S1,S1 - EKONOMI DAN STUDI PEMBANGUNAN UNIVERSITAS NEGERI MALANG,417,47,11.27%,656,57,8.69%,600,2,1401,"1,242",901,1037,1280,"1,115",1089,NO,,,,,,
Nusa Tenggara Timur,Kota Kupang,Jawa Timur,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,TEKNIK ELEKTRONIKA,D4,D4 - TEKNIK ELEKTRONIKA POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,272,45,16.54%,488,60,12.30%,600,2,-,"1,652",901,1037,tidak valid,"1,197",1234,NO,,,,,,
Jawa Timur,Kota Malang,Kalimantan,UNIVERSITAS MULAWARMAN,SISTEM INFORMASI,S1,S1 - SISTEM INFORMASI UNIVERSITAS MULAWARMAN,359,29,8.08%,537,55,10.24%,600,1,1301,"1,432",901,1329,1128,"1,198",1235,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN MANAJEMEN PERKANTORAN,S1,S1 - PENDIDIKAN MANAJEMEN PERKANTORAN UNIVERSITAS PENDIDIKAN INDONESIA,642,36,5.61%,639,60,9.39%,600,1,1401,"1,331",901,1329,1280,"1,210",1259,NO,,,,,,
Jawa Timur,Kab. Jember,Sumatera Utara,UNIVERSITAS SUMATERA UTARA,KIMIA,S1,S1 - KIMIA UNIVERSITAS SUMATERA UTARA,295,40,13.56%,193,32,16.58%,600,1,1201,"2,002",901,1329,843,"1,269",1359,NO,,,,,,
Jawa Timur,Kota Surabaya,"Sumsel, Babel, Lampung",UNIVERSITAS LAMPUNG,ILMU KOMPUTER,S1,S1 - ILMU KOMPUTER UNIVERSITAS LAMPUNG,806,30,3.72%,756,60,7.94%,600,0,1401,"1,117",901,2004,1280,"1,326",1450,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN GEOGRAFI,S1,S1 - PENDIDIKAN GEOGRAFI UNIVERSITAS NEGERI JAKARTA,200,30,15.00%,241,45,18.67%,600,2,1401,"2,140",901,1037,1280,"1,340",1495,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS AIRLANGGA,FISIKA,S1,S1 - FISIKA UNIVERSITAS AIRLANGGA,68,24,35.29%,79,32,40.51%,600,1,308,"3,096",901,1329,197,"1,381",1559,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,Jawa Timur,UNIVERSITAS JEMBER,ILMU ADMINISTRASI NEGARA,S1,S1 - ILMU ADMINISTRASI NEGARA UNIVERSITAS JEMBER,420,48,11.43%,597,64,10.72%,600,0,-,"1,491",901,2004,tidak valid,"1,465",1684,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,FISIKA,S1,S1 - FISIKA UNIVERSITAS NEGERI YOGYAKARTA,60,20,33.33%,84,28,33.33%,600,1,1201,"2,846",901,1329,843,"1,480",1700,NO,,,,,,
Jawa Timur,Kota Surabaya,Maluku & Papua,UNIVERSITAS PATTIMURA,TEKNIK PERMINYAKAN,S1,S1 - TEKNIK PERMINYAKAN UNIVERSITAS PATTIMURA,128,15,11.72%,152,20,13.16%,600,0,-,"1,738",901,2004,tidak valid,"1,548",1822,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UIN SUNAN KALIJAGA,TEKNIK INDUSTRI,S1,S1 - TEKNIK INDUSTRI UIN SUNAN KALIJAGA,128,20,15.63%,236,50,21.19%,600,0,-,"2,291",901,2004,tidak valid,"1,732",2191,NO,,,,,,
Jawa Timur,Kota Malang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS SINGAPERBANGSA KARAWANG,PEND. BAHASA DAN SASTRA INDONESIA,S1,S1 - PEND. BAHASA DAN SASTRA INDONESIA UNIVERSITAS SINGAPERBANGSA KARAWANG,426,53,12.44%,323,70,21.67%,600,0,-,"2,318",901,2004,tidak valid,"1,741",2205,NO,,,,,,
Kalimantan Timur,Kota Samarinda,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,TEKNIK DAN MANAJEMEN LINGKUNGAN,D4,D4 - TEKNIK DAN MANAJEMEN LINGKUNGAN INSTITUT PERTANIAN BOGOR,367,56,15.26%,2136,42,1.97%,599,4,426,123,929,748,260,515,358,NO,,,,,,
Jawa Timur,Kota Malang,Sumatera Utara,UNIVERSITAS SUMATERA UTARA,ILMU ADMINISTRASI NIAGA/BISNIS,S1,S1 - ILMU ADMINISTRASI NIAGA/BISNIS UNIVERSITAS SUMATERA UTARA,1031,27,2.62%,1304,38,2.91%,599,9,1201,273,929,419,843,616,465,NO,,,,,,
Jawa Timur,Kota Surabaya,Aceh,UNIVERSITAS SYIAH KUALA,FARMASI,S1,S1 - FARMASI UNIVERSITAS SYIAH KUALA,1441,24,1.67%,1576,28,1.78%,599,18,1401,99,929,254,1280,641,493,NO,,,,,,
Jawa Timur,Kota Surabaya,Sumatera Utara,UNIVERSITAS SUMATERA UTARA,ILMU KESEHATAN MASYARAKAT,S1,S1 - ILMU KESEHATAN MASYARAKAT UNIVERSITAS SUMATERA UTARA,1667,88,5.28%,1853,128,6.91%,599,21,1201,941,929,217,843,733,601,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN TEKNIK BUSANA,S1,S1 - PENDIDIKAN TEKNIK BUSANA UNIVERSITAS NEGERI YOGYAKARTA,571,16,2.80%,612,24,3.92%,599,1,1201,437,929,1329,843,885,778,NO,,,,,,
Jawa Timur,Kota Surabaya,"Sumsel, Babel, Lampung",UNIVERSITAS SRIWIJAYA,TEKNIK SIPIL,S1,S1 - TEKNIK SIPIL UNIVERSITAS SRIWIJAYA,598,35,5.85%,996,70,7.03%,599,9,1401,959,929,419,1280,897,795,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN SOSIOLOGI,S1,S1 - PENDIDIKAN SOSIOLOGI UNIVERSITAS NEGERI YOGYAKARTA,227,16,7.05%,312,24,7.69%,599,3,1201,"1,069",929,868,843,927,833,NO,,,,,,
Nusa Tenggara Timur,Kota Kupang,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS PENDIDIKAN INDONESIA,MANAJEMEN PEMASARAN PARIWISATA,S1,S1 - MANAJEMEN PEMASARAN PARIWISATA UNIVERSITAS PENDIDIKAN INDONESIA,702,20,2.85%,853,28,3.28%,599,1,1401,330,929,1329,1280,967,888,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN GEOGRAFI,S1,S1 - PENDIDIKAN GEOGRAFI UNIVERSITAS NEGERI YOGYAKARTA,198,16,8.08%,284,24,8.45%,599,2,1201,"1,202",929,1037,843,"1,003",929,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN ADMINISTRASI PERKANTORAN,S1,S1 - PENDIDIKAN ADMINISTRASI PERKANTORAN UNIVERSITAS NEGERI SEMARANG,531,25,4.71%,517,38,7.35%,599,1,1401,"1,009",929,1329,1280,"1,137",1131,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,KIMIA,S1,S1 - KIMIA INSTITUT TEKNOLOGI SEPULUH NOPEMBER,211,60,28.44%,332,80,24.10%,599,3,585,"2,452",929,868,325,"1,144",1142,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN GURU PAUD,S1,S1 - PENDIDIKAN GURU PAUD UNIVERSITAS NEGERI YOGYAKARTA,202,16,7.92%,333,24,7.21%,599,0,1201,983,929,2004,843,"1,190",1216,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS BRAWIJAYA,ADMINISTRASI PENDIDIKAN,S1,S1 - ADMINISTRASI PENDIDIKAN UNIVERSITAS BRAWIJAYA,179,22,12.29%,345,33,9.57%,599,0,801,"1,357",929,2004,521,"1,203",1243,NO,,,,,,
Jawa Timur,Kota Surabaya,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS NEGERI JAKARTA,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG,D4,D4 - TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG UNIVERSITAS NEGERI JAKARTA,212,16,7.55%,479,24,5.01%,599,0,1401,651,929,2004,1280,"1,216",1271,NO,,,,,,
Sulawesi Selatan,Kota Makassar,"Banten, DKI Jakarta & Jawa Barat",POLITEKNIK MANUFAKTUR BANDUNG,TEKNOLOGI REKAYASA INFORMATIKA INDUSTRI,D4,D4 - TEKNOLOGI REKAYASA INFORMATIKA INDUSTRI POLITEKNIK MANUFAKTUR BANDUNG,183,16,8.74%,381,21,5.51%,599,0,-,721,929,2004,tidak valid,"1,218",1275,NO,,,,,,
Sulawesi Selatan,Kota Makassar,Kalimantan,UNIVERSITAS TANJUNGPURA,SISTEM INFORMASI,S1,S1 - SISTEM INFORMASI UNIVERSITAS TANJUNGPURA,398,28,7.04%,467,36,7.71%,599,0,-,"1,081",929,2004,tidak valid,"1,338",1492,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA JERMAN,S1,S1 - PENDIDIKAN BAHASA JERMAN UNIVERSITAS NEGERI YOGYAKARTA,66,16,24.24%,116,24,20.69%,599,1,1201,"2,271",929,1329,843,"1,343",1503,NO,,,,,,
Jawa Timur,Kota Malang,"Sumsel, Babel, Lampung",UNIVERSITAS LAMPUNG,PEND. B. INGGRIS,S1,S1 - PEND. B. INGGRIS UNIVERSITAS LAMPUNG,509,35,6.88%,450,70,15.56%,599,1,1401,"1,939",929,1329,1280,"1,369",1540,NO,,,,,,
Kep. Bangka Belitung,Kab. Bangka,"Sumsel, Babel, Lampung",UNIVERSITAS SRIWIJAYA,TEKNIK KIMIA,S1,S1 - TEKNIK KIMIA UNIVERSITAS SRIWIJAYA,318,35,11.01%,438,70,15.98%,599,1,1401,"1,969",929,1329,1280,"1,377",1551,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Timur,UNIVERSITAS JEMBER,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS JEMBER,201,42,20.90%,337,56,16.62%,599,1,-,"2,005",929,1329,tidak valid,"1,421",1617,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Tengah & DIY,"UPN ""VETERAN"" YOGYAKARTA",TEKNIK GEOMATIKA,S1,"S1 - TEKNIK GEOMATIKA UPN ""VETERAN"" YOGYAKARTA",105,30,28.57%,333,65,19.52%,599,1,-,"2,197",929,1329,tidak valid,"1,485",1707,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN TEKNIK MEKATRONIKA,S1,S1 - PENDIDIKAN TEKNIK MEKATRONIKA UNIVERSITAS NEGERI YOGYAKARTA,42,16,38.10%,107,24,22.43%,599,0,1201,"2,353",929,2004,843,"1,532",1793,NO,,,,,,
Sumatera Selatan,Kab. Ogan Ilir,Riau & Kepri,UNIVERSITAS RIAU,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS RIAU,278,27,9.71%,224,36,16.07%,599,0,1401,"1,976",929,2004,1280,"1,547",1821,NO,,,,,,
Sumatera Selatan,Kota Palembang,Jawa Timur,UNIVERSITAS JEMBER,PENDIDIKAN BIOLOGI,S1,S1 - PENDIDIKAN BIOLOGI UNIVERSITAS JEMBER,263,50,19.01%,272,66,24.26%,599,0,-,"2,460",929,2004,tidak valid,"1,798",2302,NO,,,,,,
Bali,Kab. Buleleng,Jawa Tengah & DIY,UNIVERSITAS NEGERI SEMARANG,FISIKA,S1,S1 - FISIKA UNIVERSITAS NEGERI SEMARANG,105,28,26.67%,97,37,38.14%,599,0,1401,"3,007",929,2004,1280,"1,805",2312,NO,,,,,,
Jawa Timur,Kota Malang,Jawa Timur,UNIVERSITAS JEMBER,MATEMATIKA,S1,S1 - MATEMATIKA UNIVERSITAS JEMBER,138,41,29.71%,125,54,43.20%,599,1,-,"3,162",929,1329,tidak valid,"1,807",2318,NO,,,,,,
Jawa Timur,Kota Surabaya,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,BAHASA INGGRIS,D4,D4 - BAHASA INGGRIS UNIVERSITAS GADJAH MADA,160,18,11.25%,1971,18,0.91%,598,3,239,15,955,868,80,480,317,NO,,,,,,
Kalimantan Selatan,Kota Banjarmasin,Sulawesi,UNIVERSITAS HASANUDDIN,PENDIDIKAN DOKTER GIGI,S1,S1 - PENDIDIKAN DOKTER GIGI UNIVERSITAS HASANUDDIN,998,50,5.01%,1771,80,4.52%,598,63,1001,558,955,62,662,559,402,NO,,,,,,
