,,,,,,,,,,,,,,,,,,,,,,269,# PILIHAN 1,Pilihan 1,,# PILIHAN 2,Pilihan 2,
PROVINSI,KOTA/KABUPATEN,PROVINSI GABUNG,UNIVERSITAS,PROGRAM STUDI,JENJANG,[hidden] concat,"PEMINAT 2024
Jawa Barat,Kab. Indramayu,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,KEDOKTERAN HEWAN,S1,S1 - KEDOKTERAN HEWAN INSTITUT PERTANIAN BOGOR,703,88,12.52%,1017,66,6.49%,673,51,426,869,182,76,260,347,178,YES,,,,,,
Jawa Barat,Kota Depok,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNIK GEODESI,S1,S1 - TEKNIK GEODESI UNIVERSITAS GADJAH MADA,202,38,18.81%,527,38,7.21%,673,9,239,985,182,419,80,417,242,YES,,,,,,
Jawa Barat,Kab. Karawang,Jawa Tengah & DIY,UNIVERSITAS DIPONEGORO,TEKNIK MESIN,S1,S1 - TEKNIK MESIN UNIVERSITAS DIPONEGORO,664,60,9.04%,1120,75,6.70%,673,16,721,897,182,279,453,453,285,YES,,,,,,
Kalimantan Timur,Kota Samarinda,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,REKAYASA PERANGKAT LUNAK,S1,S1 - REKAYASA PERANGKAT LUNAK INSTITUT TEKNOLOGI SEPULUH NOPEMBER,159,12,7.55%,306,18,5.88%,673,4,585,785,182,748,325,510,352,YES,,,,,,
Sulawesi Selatan,Kota Makassar,Bali & Nusa Tenggara,UNIVERSITAS MATARAM,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UNIVERSITAS MATARAM,895,45,5.03%,1280,113,8.83%,673,23,1401,"1,260",182,200,1280,731,600,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,ARSITEKTUR LANSEKAP,S1,S1 - ARSITEKTUR LANSEKAP INSTITUT PERTANIAN BOGOR,354,40,11.30%,530,30,5.66%,672,6,426,745,190,582,260,444,271,YES,,,,,,
Kalimantan Barat,Kota Pontianak,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,TEKNIK ELEKTRO,S1,S1 - TEKNIK ELEKTRO UNIVERSITAS SEBELAS MARET,348,16,4.60%,580,24,4.14%,672,8,1001,487,190,463,662,451,282,YES,,,,,,
Sulawesi Utara,Kota Manado,"Sumsel, Babel, Lampung",UNIVERSITAS SRIWIJAYA,PENDIDIKAN DOKTER,S1,S1 - PENDIDIKAN DOKTER UNIVERSITAS SRIWIJAYA,1162,50,4.30%,2256,125,5.54%,672,49,1401,727,190,80,1280,569,416,YES,,,,,,
Sulawesi Selatan,Kota Makassar,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS SEBELAS MARET,307,22,7.17%,456,33,7.24%,672,3,1001,990,190,868,662,678,529,YES,,,,,,
Jawa Barat,Kota Tasikmalaya,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,TEKNOLOGI INDUSTRI PERTANIAN,S1,S1 - TEKNOLOGI INDUSTRI PERTANIAN INSTITUT PERTANIAN BOGOR,593,52,8.77%,836,39,4.67%,672,0,426,587,190,2004,260,760,634,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Timur,UNIVERSITAS AIRLANGGA,MATEMATIKA,S1,S1 - MATEMATIKA UNIVERSITAS AIRLANGGA,117,30,25.64%,123,40,32.52%,672,3,308,"2,819",190,868,197,"1,019",947,YES,,,,,,
Jawa Barat,Kota Tasikmalaya,Jawa Tengah & DIY,UNIVERSITAS SEBELAS MARET,AKUNTANSI,S1,S1 - AKUNTANSI UNIVERSITAS SEBELAS MARET,1104,34,3.08%,1782,51,2.86%,671,23,1001,259,196,200,662,329,170,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",INSTITUT PERTANIAN BOGOR,TEKNOLOGI REKAYASA PERANGKAT LUNAK,D4,D4 - TEKNOLOGI REKAYASA PERANGKAT LUNAK INSTITUT PERTANIAN BOGOR,605,56,9.26%,1785,42,2.35%,671,1,426,188,196,1329,260,493,336,YES,,,,,,
Kalimantan Selatan,Kota Banjarmasin,Jawa Timur,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK SISTEM PERKAPALAN,S1,S1 - TEKNIK SISTEM PERKAPALAN INSTITUT TEKNOLOGI SEPULUH NOPEMBER,233,28,12.02%,426,63,14.79%,671,10,585,"1,871",196,390,325,696,554,YES,,,,,,
Sumatera Selatan,Kota Palembang,"Banten, DKI Jakarta & Jawa Barat",INSTITUT TEKNOLOGI BANDUNG,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - IPA (FMIPA-IPA),S1,S1 - FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - IPA (FMIPA-IPA) INSTITUT TEKNOLOGI BANDUNG,643,136,21.15%,542,136,25.09%,671,29,256,"2,499",196,158,173,757,629,YES,,,,,,
Jawa Barat,Kab. Karawang,Jawa Tengah & DIY,UNIVERSITAS NEGERI YOGYAKARTA,STATISTIKA,S1,S1 - STATISTIKA UNIVERSITAS NEGERI YOGYAKARTA,191,16,8.38%,283,24,8.48%,671,2,1201,"1,208",196,1037,843,821,695,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Tengah & DIY,UNIVERSITAS GADJAH MADA,TEKNOLOGI INDUSTRI PERTANIAN,S1,S1 - TEKNOLOGI INDUSTRI PERTANIAN UNIVERSITAS GADJAH MADA,189,30,15.87%,388,30,7.73%,671,0,239,"1,085",196,2004,80,841,725,YES,,,,,,
Jawa Barat,Kota Bandung,"Banten, DKI Jakarta & Jawa Barat",UNIVERSITAS INDONESIA,PRODUKSI MEDIA,D4,D4 - PRODUKSI MEDIA UNIVERSITAS INDONESIA,614,31,5.05%,3682,47,1.28%,670,19,206,44,202,242,1,122,24,YES,,,,,,
Jawa Barat,Kota Bandung,Jawa Timur,UNIVERSITAS AIRLANGGA,TEKNIK ROBOTIKA DAN KECERDASAN BUATAN,S1,S1 - TEKNIK ROBOTIKA DAN KECERDASAN BUATAN UNIVERSITAS AIRLANGGA,181,30,16.57%,378,30,7.94%,670,8,308,"1,117",202,463,197,495,338,NO,,,,,,
